Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV-AUC
Logistic Regression,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9664502164502164,0.909425190194421
Support Vector Classifier,0.9016393442622951,0.84375,0.9642857142857143,0.9,0.9664502164502164,0.9090448013524938
KNN,0.9016393442622951,0.8666666666666667,0.9285714285714286,0.896551724137931,0.948051948051948,0.9242180896027051
Support Vector Regression,0.8524590163934426,0.8064516129032258,0.8928571428571429,0.847457627118644,0.948051948051948,0.9047759932375318
Random Forest (Classification),0.8524590163934426,0.8064516129032258,0.8928571428571429,0.847457627118644,0.9458874458874459,0.917455621301775
Random Forest (Regression),0.8852459016393442,0.8181818181818182,0.9642857142857143,0.8852459016393442,0.9285714285714286,0.8824809805579037
Decision Tree (Classification),0.8360655737704918,0.8,0.8571428571428571,0.8275862068965517,0.8528138528138529,0.8506551141166525
Decision Tree (Regression),0.8360655737704918,0.8,0.8571428571428571,0.8275862068965517,0.8528138528138529,0.8506551141166525
Naive Bayes,0.6557377049180327,0.5813953488372093,0.8928571428571429,0.704225352112676,0.8268398268398269,0.8911665257819104
